sku,color,barcode
2052021,,11792
5012335,,11793
3032108,,11794
3014000,,11795
5012331,,11796
5012332,,11797
5012333,,11798
5012334,,11799
3032109,,11800
2012578,,11801
3014001,,11802
6012291,,11803
6012299,,11804
3032271,,11805
5012336,,11806
6012296,,11807
6012296,,11808
3032281,,11809
3013090,,11810
3013094,,11811
3013099,,11812
5012092,,11814
2012531,,11815
5012296,,11816
6012273,,11817
3013100,,11818
3013100,,11819
3013101,,11820
3013104,,11821
3013104,,11822
3013105,,11823
3013105,,11824
3013105,,11825
3013105,,11826
3013105,,11827
7072065,,11828
7072065,,11829
3013103,,11830
3013103,,11831
